deal_id,start_date,min_req,treatment,prom_length,price,discount_pct,coupon_duration,featured,limited_supply,fb_likes,quantity_sold,revenue
heli-flights,9/23/2011,10,1,4,99,51,185,1,1,290,540,53460
gl-champion-series-tennis-electric-factory,9/23/2011,20,1,2,95,41,9,0,1,43,190,18050
realm-of-terror-horror-experience,9/23/2011,50,1,3,25,50,38,0,1,208,380,9500
newport-gourmet,9/23/2011,15,1,3,50,50,369,0,1,16,90,4500
the-clayroom,9/23/2011,20,1,4,25,52,185,0,1,85,580,14500
connors-farm,9/24/2011,25,1,4,19,50,36,1,0,342,1000,19000
urban-kayaks-1,9/24/2011,20,1,2,30,50,266,0,1,90,820,24600
bell-view-acres-chicago,9/24/2011,5,1,3,49,53,369,0,1,25,160,7840
slice-of-chicago-pizza,9/25/2011,25,1,2,22,51,56,0,1,71,260,5720
make-a-messterpiece-2,9/25/2011,75,1,3,11,50,81,0,1,150,1000,11000
odyssey-fun-farm,9/25/2011,50,1,2,10,50,37,0,1,289,1000,10000
witches-cottage,9/25/2011,20,1,6,10,58,33,0,0,149,230,2300
astoria-bowl-nyc-1,10/4/2011,25,1,3,9,50,186,0,1,71,510,4590
nj-childrens-museum-2,10/5/2011,15,1,3,10,50,186,0,1,30,280,2800
outdoor-bound-adventures-ny-1,10/6/2011,10,1,4,29,52,368,0,1,123,330,9570
peoples-choice-family-fun,10/6/2011,25,1,2,18,63,186,0,1,65,330,5940
school-products-yarn,10/6/2011,25,1,4,25,50,185,0,1,87,640,16000
studio-maya-nyc,10/6/2011,20,1,3,39,61,369,0,0,4,100,3900
bev-art,10/7/2011,25,1,3,49,51,186,0,1,70,270,13230
csi-experience-nyc,10/7/2011,20,1,4,14,50,43,1,1,240,1000,14000
imagine-lifestyles,10/7/2011,50,1,4,159,68,36,0,1,1089,1000,159000
east-somerville-foodie-crawl,10/8/2011,10,1,5,20,60,15,1,1,185,460,9200
heaven-hill-farm-new-york,10/9/2011,20,1,3,5,50,19,0,1,56,100,500
stylefixx-boston,10/9/2011,10,1,4,15,50,2,0,1,99,480,7200
gl-stand-up-for-charity,10/10/2011,10,1,3,34,51,16,0,1,46,120,4080
liberty-science-center-nyc-1,10/10/2011,20,1,3,7,53,68,0,1,26,90,630
creepy-hallow-halloween-fun-park,10/10/2011,10,1,2,12,50,22,0,1,88,320,3840
devils-haven-haunted-house,10/11/2011,10,1,2,20,50,21,0,0,200,550,11000
gl-walk-in-the-woods-timeline-theatre-company,10/11/2011,10,1,3,15,56,24,0,1,35,90,1350
north-wall-chicago,10/12/2011,25,1,2,35,56,217,0,1,39,250,8750
harlem-lanes-nyc,10/12/2011,10,1,3,10,57,186,0,0,124,530,5300
gl-skokie-valley,10/13/2011,10,1,3,18,51,3,0,0,8,110,1980
westgate-lanes-1,10/13/2011,10,1,5,28,51,186,0,1,121,450,12600
gl-columbia-football,10/13/2011,10,1,3,10,50,16,0,1,59,100,1000
chicago-chocolate-tour,10/13/2011,300,1,2,22,45,369,1,1,435,1000,22000
nightmare-on-clark-street,10/13/2011,3,1,2,12,60,3,0,1,254,220,2640
manhattan-helicopters-1,10/14/2011,20,1,4,149,32,186,1,1,196,340,50660
heart-in-hands,10/14/2011,5,1,5,20,50,369,0,0,38,70,1400
